timestamp,account_id,entropy_score,cpu_burst_rate,egress_pivots,revenue_tier,label_ground_truth
2026-02-13 13:39:39.724,acct_f8a97cb8,4.7784,39.87,1,SMB,SAFE_COMPUTE
2026-02-13 13:39:48.724,acct_d20533dc,4.9184,22.15,1,Free,SAFE_COMPUTE
2026-02-13 13:39:51.724,acct_25ab4a9a,4.9544,22.3,3,SMB,SAFE_COMPUTE
2026-02-13 13:39:57.724,acct_6264d066,5.4748,31.12,4,SMB,SAFE_COMPUTE
2026-02-13 13:40:11.724,acct_cf28ac1b,4.1519,16.12,1,Enterprise,SAFE_COMPUTE
2026-02-13 13:40:18.724,acct_aa1e64e0,4.4153,25.06,1,Free,SAFE_COMPUTE
2026-02-13 13:40:22.724,acct_74c4548d,5.0315,24.46,2,SMB,SAFE_COMPUTE
2026-02-13 13:40:37.724,acct_29b766a3,4.0438,30.64,3,Free,SAFE_COMPUTE
2026-02-13 13:40:47.724,acct_b1b7d3cc,5.5824,41.79,3,Free,SAFE_COMPUTE
2026-02-13 13:40:57.724,acct_66013560,5.0615,18.03,1,Enterprise,SAFE_COMPUTE
2026-02-13 13:41:24.724,acct_41185e2b,3.5559000000000003,29.33,2,SMB,SAFE_COMPUTE
2026-02-13 13:41:26.724,acct_5e849467,4.1921,29.05,2,SMB,SAFE_COMPUTE
2026-02-13 13:41:30.724,acct_5e890aba,4.3435,18.75,4,SMB,SAFE_COMPUTE
2026-02-13 13:41:33.724,acct_56956f3f,7.8139,91.45,31,Free,MALWARE_HONESTCUE
2026-02-13 13:41:36.724,acct_5f7a1b54,4.2498000000000005,41.41,1,SMB,SAFE_COMPUTE
2026-02-13 13:42:00.724,acct_5aadcd3c,4.8676,21.24,4,SMB,SAFE_COMPUTE
2026-02-13 13:42:12.724,acct_fc7b01ac,5.4287,17.8,4,SMB,SAFE_COMPUTE
2026-02-13 13:42:26.724,acct_ac2d53fb,5.3039,17.95,2,Enterprise,SAFE_COMPUTE
2026-02-13 13:42:54.724,acct_f656fbb7,4.7646,38.07,3,Enterprise,SAFE_COMPUTE
2026-02-13 13:43:03.724,acct_61c92969,5.9862,29.0,4,SMB,SAFE_COMPUTE
2026-02-13 13:43:29.724,acct_bd496fc4,3.6141,13.1,3,Enterprise,SAFE_COMPUTE
2026-02-13 13:44:13.724,acct_11d77a27,5.4842,34.58,2,Free,SAFE_COMPUTE
2026-02-13 13:44:32.724,acct_6dcae26d,5.4185,25.56,2,Free,SAFE_COMPUTE
